RCP_SNO,SRAP_CNT,ING_INFO
3896229,608,당근 마늘 양파
3897641,1122,당근 마늘 양파
3900321,1631,마늘 오이
3901481,1029,고추 당근 양파 버섯
3906224,745,고추 당근 양파 상추
3907482,715,마늘
3907562,981,
3910354,752,양파 오이
3910966,992,토마토
3913226,682,계란
3914297,782,
3914829,770,감자 양파
3914903,1613,버섯
3918990,4030,고추 대파 마늘 양파 삼겹살
3919318,696,
3919375,1123,
3919763,1501,감자 당근
3923303,4461,계란 고추 마늘 양파 상추 오이 토마토 고춧가루 무무
3925402,732,
3927413,677,무무
3927423,3687,고추 양파
3927679,927,고추 배추 오이
3930240,7000,고추 마늘 오이
3931606,761,고추 마늘 양파 고춧가루
3931824,1778,감자 고추 배추 양파
3932076,801,마늘 양파 고춧가루
3935722,1522,
3940129,895,감자
3941281,1646,당근 대파 마늘 양파
3943084,7849,감자 고추 양파
3945272,3051,고추 마늘
3948096,1342,양파 상추
3948348,1675,마늘 양파 오이 고춧가루
3952134,713,
3952865,1170,감자 고추 마늘 양파 고춧가루
3954960,1296,고추 당근 양파
3955692,879,
3956795,3947,감자 마늘
3956870,949,계란
3960224,7060,감자 고추 마늘 양파
3960370,1151,당근 양파
3966628,817,계란
3967176,1336,고추 당근 양파
3968531,922,당근
3968605,1016,대파 마늘 양파 무무
3969475,1337,대파 마늘 양파
3971179,1840,
3971363,1336,고추 대파 마늘 고춧가루 무무
3973499,1302,고추 당근 마늘 배추 양파 상추 오이 고춧가루
3973651,765,마늘 무무
3973722,2672,계란
3975576,1705,계란
3975580,881,오이 고춧가루
3976406,5958,감자 배추 양파
3976768,1202,고추 마늘 배추 상추 오이 토마토 고춧가루
3977058,1840,고추 양파 버섯
3979404,5022,감자 양파
3979707,1304,오이
3984196,1129,고추
3984198,794,마늘 양파
3985784,1378,마늘
3985894,1013,마늘
3985917,1400,무무
3988644,643,고추 당근 양파 오이 고춧가루 무무
3989037,1615,
3989737,6955,감자 계란 오이
3990901,2968,고추 대파 버섯
3991475,769,마늘 배추 고춧가루
3992105,8452,
3993622,1236,
3993704,974,
3993753,6421,대파 마늘 양파 고춧가루 앞다리
3994255,613,계란 상추 오이 토마토 무무
3994329,852,계란
3996134,804,당근 버섯 무무
3997539,5357,마늘 버섯
3998934,744,고추 마늘 버섯
3999013,1415,계란
3999046,873,감자 계란 당근
4000673,3166,오이 무무
4000675,4681,마늘 오이
4000677,6388,감자 고추 마늘 양파
4003549,4765,당근 무무
4003685,1670,고춧가루
4005083,632,감자
4005088,2324,고추
4005204,3280,마늘
4006817,806,
4007541,1581,계란
4007551,1867,감자
4007561,29046,감자 당근 양파
4008934,880,고추 마늘 양파 오이 고춧가루
4009038,1227,마늘
4009040,673,계란
4009103,7373,마늘 배추 오이 고춧가루
4009775,4371,고추 마늘
4012096,866,고추 당근 양파
4013029,844,
4013303,643,감자 고추 마늘 양파 토마토
4013893,774,고추
4014039,1981,
4014043,971,
4014045,854,고추 마늘
4014337,1106,
4014773,1049,감자 당근
4015267,15434,
4015284,992,고추 양파
4015877,716,
4015891,3940,고추 당근 마늘 오이
4015898,1008,대파 마늘 양파 앞다리
4018859,680,마늘
4022178,1352,계란 당근 양파
4022182,5446,고추 대파 양파 오이 고춧가루
4022189,1249,마늘 오이 고춧가루
4022614,1003,
4023220,602,
4023267,2885,고추 마늘
4025426,1109,고춧가루
